Kernel,Length Scale,Alpha,Noise Level,Bounds,Kernel Parameters,LML
RationalQuadratic,4e-05,0.008377,0.01,"(2.1544346900318822e-06, 16.68100537200059)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",45.18316856118262
RationalQuadratic,4e-05,0.008377,0.01,"(4.641588833612782e-07, 16.68100537200059)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",45.18316856111337
RationalQuadratic,4e-05,0.008377,0.01,"(1e-07, 10.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",43.40249675339709
RationalQuadratic,4e-05,0.008377,0.01,"(0.1, 10.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",43.40249675339709
RationalQuadratic,4e-05,0.008377,0.01,"(0.021544346900318822, 10.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",43.40249675339709
RationalQuadratic,4e-05,0.008377,0.01,"(0.004641588833612773, 10.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",43.40249675339709
RationalQuadratic,4e-05,0.008377,0.01,"(0.001, 10.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",43.40249675339709
RationalQuadratic,4e-05,0.008377,0.01,"(4.641588833612772e-05, 10.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",43.40249675339709
RationalQuadratic,4e-05,0.008377,0.01,"(1e-05, 10.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",43.40249675339709
RationalQuadratic,4e-05,0.008377,0.01,"(2.1544346900318822e-06, 10.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",43.40249675339709
RationalQuadratic,4e-05,0.008377,0.01,"(4.641588833612782e-07, 10.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",43.40249675339709
RationalQuadratic,4e-05,0.008377,0.01,"(0.00021544346900318823, 10.0)","RationalQuadratic(alpha=0.00838, length_scale=4e-05) + WhiteKernel(noise_level=0.01)",43.40249675339709
